"Seller","Make","Price","ZIP","City","State","Class","Year","Length","Category","Hull.Material","Engine.Type","age"
"Alexander Marine USA - Alexander Marine USA - Washington","Ocean Alexander",559000,"98109 ","Seattle","WA","Power",2007,52," Motor Yachts","Fiberglass","Twin Inboard",12
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Palm Harbour Marina","Ocean Alexander",414000,"33401 ","West Palm Beach","FL","Power",2007,52," Motor Yachts","Fiberglass","Twin Inboard",12
"Tender Care Boats, LLC","Ocean Yachts",399000,"33312 ","Fort Lauderdale","FL","Power",2005,52," Sports Fishing Boats","Fiberglass","Other",14
"Knot 10 Yacht Sales","Ocean Yachts",299000,"21638 ","Grasonville","MD","Power",2001,52," Convertible Boats, Saltwater Fishing","Fiberglass","Twin Inboard",18
"PETZOLD'S MARINE CENTER - PETZOLD'S MARINE CENTER","Ocean Yachts",349000,"6480 ","Portland","CT","Power",2001,52," Sports Fishing Boats, Flybridge","Fiberglass","Other",18
"C. Nicklaus Starling & Associates LLC","Ocean Yachts",199000,"33408 ","North Palm Beach","FL","Power",2001,52," Sports Fishing Boats","Fiberglass","Twin Inboard",18
"American Custom Marine","Outerlimits",899900,"48074 ","Smiths Creek","MI","Power",1992,52," High Performance Boats","Fiberglass","Other",27
"Knot 10 Yacht Sales","Ovation",469000,"21638 ","Grasonville","MD","Power",2020,52," Flybridge, Motor Yachts","Fiberglass","Other",-1
"NW Yachtnet - NW Yachtnet","PT",99900,"98402 ","Tacoma","WA","Power",2009,52," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",10
"WORLDWIDE YACHT SALES INC. - WORLDWIDE YACHT SALES INC.","Pershing",389944,"33904 ","Cape Coral","FL","Power",1986,52," Motor Yachts","Fiberglass","Twin Inboard",33
"Paradigm Yacht Sales","Pluckebaum",98500,"40059 ","Prospect","KY","Power",2003,52," House Boats, Motor Yachts","Aluminum","Twin Inboard",16
"Wahoo Marine Sales","President",119900,"63301 ","Saint Louis","MO","Power",1975,52," Motor Yachts, Cruisers","Fiberglass","Twin Inboard",44
"Elite Yachts Chicago","Prestige",1090000,"60419 ","Dolton","IL","Power",2020,52," Flybridge","Fiberglass","Other",-1
"Spring Brook Marina","Prestige",999000,"61360 ","Seneca","IL","Power",2019,52," Motor Yachts","Fiberglass","Twin Inboard",0
"InterMarine - InterMarine","Prestige",899900,"33312 ","Fort Lauderdale","FL","Power",2018,52," Express Cruiser","Fiberglass","Twin Inboard",1
"Grande Yachts International - Grande Yachts International - Wilmington","Princess",1190000,"28403 ","Wilmington","NC","Power",2018,52," Motor Yachts","Fiberglass","Twin Inboard",1
"SkipperBud's","Princess",325000,"60096 ","Winthrop Harbor","IL","Power",2016,52," Motor Yachts","Fiberglass","Other",3
"Off The Hook Yacht Sales - Off The Hook Yacht Sales","Princess",795000,"28405 ","Wilmington","NC","Power",1998,52," Express Cruiser, Cruisers","Fiberglass","Twin Inboard",21
"Denison Yachting - Denison Yachting - Palm Beach","Princess",839000,"33410 ","Palm Beach Gardens","FL","Power",2015,52," Cruisers","Fiberglass","Twin Inboard",4
"MarineMax Houston","Sea Ray",469000,"77586 ","Seabrook","TX","Power",2006,52," Sports Cruiser","Fiberglass","Other",13
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Sea Ray",380000,"33312 ","Fort Lauderdale","FL","Power",2007,52," Motor Yachts, Express Cruiser, Sports Cruiser","Fiberglass","Twin Inboard",12
"Sun Country Marine Group (SCMG) - Sun Country Yachts, Newport Beach","Sea Ray",419000,"92663 ","Newport Beach","CA","Power",2007,52," Motor Yachts","Fiberglass","Twin Inboard",12
"Denison Yachting - Denison Yachting - Stuart","Sea Ray",459000,"34994 ","Stuart","FL","Power",2006,52," Express Cruiser, Motor Yachts, Sports Cruiser","Fiberglass","Twin Inboard",13
"Denison Yachting - Denison Yachting - Destin","Sea Ray",384900,"32541 ","Destin","FL","Power",2006,52," Motor Yachts","Fiberglass","Twin Inboard",13
"Intrinsic Yacht & Ship","Sea Ray",349900,"21403 ","Annapolis","MD","Power",2006,52," Motor Yachts, Express Cruiser","Fiberglass","Twin Inboard",13
"Ozark Yacht Brokers, Inc. - Ozark Yacht Brokers, Inc.","Sea Ray",429900,"65049 ","Lake Ozark","MO","Power",2006,52," Express Cruiser","Fiberglass","Twin Inboard",13
"Bob Hodge Marine Group","Sea Ray",759000,"33712 ","Saint Petersburg","FL","Power",2013,52," Motor Yachts","Fiberglass","Twin Inboard",6
"Atlantic Bay Marine","Sea Ray",390000,"33142 ","Miami","FL","Power",2009,52," Flybridge","Fiberglass","Twin Inboard",10
"Curtis Stokes & Associates - Curtis Stokes & Associates","Sea Ray",449000,"33316 ","Ft. Lauderdale","FL","Power",2006,52," Motor Yachts, Motor Yachts","Fiberglass","Twin Inboard",13
"Irwin Yacht Sales - Irwin Yacht Sales - Seattle Office","Sea Ray",489950,"98109 ","Seattle","WA","Power",2005,52," Motor Yachts, Motor Yachts","Fiberglass","Twin Inboard",14
"Denison Yachting - Denison Yachting","Seahorse",350000,"33316 ","Fort Lauderdale","FL","Sails",2009,52," Motorsailers, Pilothouse, Cruisers","Fiberglass","Other",10
"Sail Away Catamarans - Sail Away Catamarans Yacht Sales","Seawind 52",859000,"21037 ","Edgewater","MD","Sails",2020,52," Multi-Hulls, Catamaran","Composite","Twin Inboard",-1
"Atlantic Yacht & Ship, Inc. - Atlantic Yacht & Ship, Inc.","Sessa Marine",545000,"33004 ","Dania Beach","FL","Power",2007,52," Motor Yachts, Cruisers","Fiberglass","Twin Inboard",12
"Houseboats Buy Terry - Houseboats Buy Terry","Stardust Cruisers",75000,"42633 ","Monticello","KY","Power",1999,52," House Boats","Aluminum","Other",20
"Elite Boat Sales","Sumerset",75000,"42629 ","Jamestown","KY","Power",1998,52," House Boats, Passenger","Aluminum","Twin Outboard",21
"Houseboats Buy Terry - Houseboats Buy Terry","Sumerset",29000,"42633 ","Monticello","KY","Power",1975,52," House Boats","Steel","Other",44
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Sunseeker",1895000,"33312 ","Fort Lauderdale","FL","Power",2020,52," Motor Yachts, Flybridge, Cruisers","Fiberglass","Twin Inboard",-1
"Rick Obey Yacht Sales - Rick Obey Yacht Sales California","Sunseeker",1475000,"92656 ","Huntington Beach","CA","Power",2018,52," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",1
"Allied Marine - Allied Marine - Miami Beach","Sunseeker",699000,"33139 ","Miami Beach","FL","Power",2011,52," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",8
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Sunseeker",599000,"33312 ","Fort Lauderdale","FL","Power",2010,52," Motor Yachts","Fiberglass","Twin Inboard",9
"Off The Hook Yacht Sales - Off The Hook Yacht Sales","Sunseeker",645000,"28405 ","Wilmington","NC","Power",2010,52," Motor Yachts, Sports Cruiser, Cruisers","Fiberglass","Twin Inboard",9
"Little Yacht Sales - Little Yacht Sales","Tayana",174900,"77565 ","Kemah","TX","Sails",1985,52," Cutter","Fiberglass","Other",34
"POP Yachts","Three Buoys",121000,"34233 ","Sarasota","FL","Power",1987,52," House Boats, Motor Yachts, Trawlers","Aluminum","Other",32
"Allied Marine - Allied Marine - Stuart","Tiara",319000,"34994 ","Stuart","FL","Power",2003,52," Cruisers","Fiberglass","Twin Inboard",16
"Knot 10 Yacht Sales","Tiara",265000,"21638 ","Grasonville","MD","Power",2001,52," Cruisers, Express Cruiser","Fiberglass","Twin Inboard",18
"Frank Gordon Yacht Sales - Frank Gordon Yacht Sales","Tiara",259000,"33301 ","Fort Lauderdale","FL","Power",2000,52," Motor Yachts","Fiberglass","Twin Inboard",19
"Emerald Pacific Yachts - SEATTLE - South Lake Union","Tiara",495000,"98109 ","Seattle","WA","Power",2001,52," Express Cruiser","Fiberglass","Twin Inboard",18
"Emerald Pacific Yachts - SEATTLE - South Lake Union","Tiara",419000,"98109 ","Seattle","WA","Power",2000,52," Express Cruiser, Sports Cruiser","Fiberglass","Other",19
"Oyster Harbors Marine - Oyster Harbors Marine","Viking",1945000,"2655 ","Osterville","MA","Power",2016,52," Convertible Boats, Sports Fishing Boats, Saltwater Fishing","Fiberglass","Twin Inboard",3
"Staten Island Yacht Sales - Freeport Office","Viking",759000,"11520 ","Freeport","NY","Power",2006,52," Convertible Boats, Sports Fishing Boats","Fiberglass","Twin Inboard",13
"Off The Hook Yacht Sales - Off The Hook Yacht Sales","Viking",649900,"28405 ","Wilmington","NC","Power",2006,52," Sports Fishing Boats, Convertible Boats","Fiberglass","Twin Inboard",13
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Waterway Marina","Viking",599000,"34994 ","Stuart","FL","Power",2005,52," Sports Fishing Boats, Convertible Boats","Fiberglass","Twin Inboard",14
"Frank Gordon Yacht Sales - Frank Gordon Yacht Sales","Viking",499000,"33301 ","Fort Lauderdale","FL","Power",2004,52," Convertible Boats","Composite","Twin Inboard",15
"South Shore Dry Dock Marine, Inc. - South Shore Dry Dock Marine, Inc.","Viking",749900,"2050 ","Marshfield","MA","Power",2007,52," Convertible Boats, Sports Fishing Boats","Composite","Twin Inboard",12
"Staten Island Yacht Sales - Freeport Office","Viking",2190000,"11520 ","Freeport","NY","Power",2018,52," Sports Fishing Boats, Saltwater Fishing","Fiberglass","Other",1
"South Jersey Yacht Sales - South Jersey Yacht Sales - CCM","Viking",2499000,"8204 ","Cape May","NJ","Power",2019,52," Sports Fishing Boats, Saltwater Fishing","Fiberglass","Twin Inboard",0
"Denison Yachting - Denison Yachting - Miami","Viking",1199000,"33139 ","Miami","FL","Power",2005,52," Convertible Boats, Sports Fishing Boats","Fiberglass","Twin Inboard",14
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Miami Beach Marina","Viking",675000,"33139 ","Miami Beach","FL","Power",2002,52," Convertible Boats, Sports Fishing Boats","Fiberglass","Twin Inboard",17
"Fox Yacht Sales-Four Gulf Coast Locations","Viking",599000,"78373 ","Port Aransas","TX","Power",2002,52," Convertible Boats, Sports Fishing Boats, Saltwater Fishing","Fiberglass","Twin Inboard",17
"Florida Yachts International - Florida Yachts International","Viking",895000,"33133 ","Miami","FL","Power",2004,52," Convertible Boats, Motor Yachts","Fiberglass","Twin Inboard",15
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Soverel Harbour Marina","Viking",875000,"33410 ","Palm Beach Gardens","FL","Power",2009,52," Sports Fishing Boats","Fiberglass","Twin Inboard",10
"Elite Yachts Chicago","Carver",319900,"60419 ","Dolton","IL","Power",2002,52," Motor Yachts","Fiberglass","Twin Inboard",17
"Waylen Bay Yacht Sales","Silverton",348700,"32084 ","Saint Augustine","FL","Power",2005,52," Saltwater Fishing, Motor Yachts, Convertible Boats","Fiberglass","Twin Inboard",14
"Captain's Choice of Pickwick","Sea Ray",199999,"38852 ","Iuka","MS","Power",2004,51," Motor Yachts","Fiberglass","Twin Inboard",15
"Edwards Yacht Sales","Beneteau",72000,"33764 ","Clearwater","FL","Sails",1987,51," Racers and Cruisers, Cruisers, Sloop","Fiberglass","Single Inboard",32
"Denison Yachting - Denison Yachting - Miami","Beneteau",637083,"33139 ","Miami","FL","Sails",2020,51," Racers and Cruisers","Fiberglass","Other",-1
"Denison Yachting - Denison Yachting","Beneteau",681133,"33316 ","Fort Lauderdale","FL","Sails",2019,51," Racers and Cruisers","Fiberglass","Other",0
"Denison Yachting - Denison Yachting","Beneteau",698727,"33316 ","Fort Lauderdale","FL","Sails",2019,51," Racers and Cruisers","Fiberglass","Other",0
"Yachtfinders Windseakers - Yachtfinders Windseakers","Beneteau",99000,"92106 ","San Diego","CA","Sails",1993,51," Cruisers, Racers and Cruisers","Fiberglass","Single Inboard",26
"Annapolis Yacht Sales - Deltaville","Beneteau",575000,"23043 ","Deltaville","VA","Sails",2017,51," Cruisers","Fiberglass","Single Inboard",2
"Denison Yachting - Denison Yachting - Palm Beach","Bertram",699000,"33410 ","Palm Beach Gardens","FL","Power",2007,51," Convertible Boats","Fiberglass","Other",12
"Allied Marine - Allied Marine - Stuart","Bertram",425000,"34994 ","Stuart","FL","Power",2000,51," Sports Fishing Boats, Convertible Boats","Fiberglass","Twin Inboard",19
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Miami Beach Marina","Bertram",379000,"33139 ","Miami Beach","FL","Power",2002,51," Sports Fishing Boats, Convertible Boats","Fiberglass","Twin Inboard",17
"Frank Gordon Yacht Sales - Frank Gordon Yacht Sales","Bluewater",150000,"33301 ","Fort Lauderdale","FL","Power",1998,51," Motor Yachts, House Boats","Fiberglass","Other",21
"Village Marina & Yacht Club - Village Marina & Yacht Club","Carver",289000,"65026 ","Lake Ozark","MO","Power",2000,51," Aft Cabin","Fiberglass","Single Inboard",19
"Reel Deal Yachts","Cranchi",279000,"33140 ","Miami Beach","FL","Power",2008,51," Motor Yachts, Cruisers, Flybridge","Fiberglass","Twin Inboard",11
"Global One Yacht Sales - Global One Yacht Sales","Custom",2450000,"8724 ","Brick","NJ","Power",2020,51," Motor Yachts, Flybridge, Mega Yachts","Fiberglass","Twin Inboard",-1
"Curtis Stokes & Associates - Curtis Stokes & Associates","Dettling",595000,"33316 ","Ft. Lauderdale","FL","Power",1997,51," Motor Yachts, Pilothouse","Fiberglass","Twin Inboard",22
"The Shoreline Yacht Group - The Shoreline Yacht Group","Formosa",76900,"90731 ","San Pedro","CA","Sails",1979,51," Cruisers, Cutter","Fiberglass","Single Inboard",40
"Grande Yachts International - Grande Yachts International - Charleston","Formosa",136000,"29464 ","Mount Pleasant","SC","Sails",1982,51," Cruisers, Center Cockpit","Fiberglass","Single Inboard",37
"Denison Yachting - Denison Yachting - Seattle","Formosa",89000,"98109 ","Seattle","WA","Sails",1981,51," Ketch, Cruisers","Fiberglass","Other",38
"Little Yacht Sales - Little Yacht Sales","Formosa",174000,"77565 ","Kemah","TX","Sails",1977,51," Cruisers","Fiberglass","Other",42
"Allied Marine - Allied Marine - Miami Beach","Formula",450000,"33139 ","Miami Beach","FL","Power",2014,51," Cruisers","Fiberglass","Other",5
"Alexander Marine USA - Alexander Marine USA","Galeon",1443902,"98109 ","Seattle","WA","Power",2018,51," Cruisers","Fiberglass","Twin Inboard",1
"Harbortowne Marine","Harbor Master",149900,"37885 ","Vonore","TN","Power",1997,51," House Boats, Airboat","Fiberglass","Twin Inboard",22
"Houseboats Buy Terry - Houseboats Buy Terry","Jamestowner",35000,"42633 ","Monticello","KY","Power",1981,51," House Boats","Steel","Other",38
"Houseboats Buy Terry - Houseboats Buy Terry","Jamestowner",20000,"42633 ","Monticello","KY","Power",1981,51," House Boats","Steel","Other",38
"Texas Coast Yachts - Texas Coast Yachts","Jeanneau",599935,"77565 ","Clear Lake Shores","TX","Sails",2019,51," Racers and Cruisers","Fiberglass","Single Inboard",0
"Norton's Yacht Sales, Inc.","Jeanneau",475000,"23043 ","Deltaville","VA","Sails",2018,51," Racers and Cruisers","Fiberglass","Single Inboard",1
"Ross Yacht Sales","Jeanneau",179000,"34698 ","Dunedin","FL","Sails",1991,51," Racers and Cruisers","Fiberglass","Single Inboard",28
"Marine Servicenter - Seattle","Jeanneau",429600,"98109 ","Seattle","WA","Sails",2020,51," Cruisers","Fiberglass","Single Inboard",-1
"Marine Servicenter - Seattle","Jeanneau",429600,"98109 ","Seattle","WA","Sails",2020,51," Cruisers, Deck Saloon, Sloop","Fiberglass","Single Inboard",-1
"The Shoreline Yacht Group - The Shoreline Yacht Group","Kha Shing",199000,"90731 ","San Pedro","CA","Power",1984,51," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",35
"Global One Yacht Sales - Global One Yacht Sales","Leopard",1500000,"8724 ","Brick","NJ","Power",2020,51," Power Catamarans, Motor Yachts, Trawlers","Fiberglass","Twin Inboard",-1
"Leopard Catamarans Brokerage - Leopard Catamarans Brokerage","Leopard",945000,"33315 ","Dania Beach","FL","Power",2018,51," Power Catamarans","Fiberglass","Twin Inboard",1
"NW Yachtnet - NW Yachtnet","Monte Fino",99000,"98402 ","Tacoma","WA","Power",1985,51," Pilothouse","Fiberglass","Twin Inboard",34
"Curtis Stokes & Associates - Curtis Stokes & Associates","Ocean Alexander",389500,"33316 ","Ft. Lauderdale","FL","Power",2000,51," Motor Yachts, Trawlers","Fiberglass","Twin Inboard",19
"Denison Yachting - Denison Yachting","Ricker",399000,"33316 ","Fort Lauderdale","FL","Power",2005,51," Convertible Boats, Convertible Boats, Sports Fishing Boats","Fiberglass","Twin Inboard",14
"HMY Yacht Sales, Inc. - HMY Yacht Sales, Inc.","Riviera",669000,"33004 ","Dania Beach","FL","Power",2007,51," Sports Fishing Boats, Convertible Boats","Fiberglass","Twin Inboard",12
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Riviera",699000,"33315 ","Fort Lauderdale","FL","Power",2007,51," Motor Yachts","Fiberglass","Other",12
"YachtSalesInternational.Com - YSI@the New River","Schaefer",1385000,"33301 ","Fort Lauderdale","FL","Power",2019,51," Flybridge","Fiberglass","Other",0
"Fox Chapel Marine","Sea Ray",2e+05,"15238 ","Pittsburgh","PA","Power",2003,51," Motor Yachts","Fiberglass","Twin Inboard",16
"Elite Boat Sales","Sea Ray",324900,"42629 ","Jamestown","KY","Power",2005,51," Cruisers, Cuddy Cabin","Fiberglass","Single Inboard",14
"Staten Island Yacht Sales - Freeport Office","Sea Ray",779000,"11520 ","Freeport","NY","Power",2014,51," Flybridge, Express Cruiser, Convertible Boats","Fiberglass","Twin Inboard",5
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Soverel Harbour Marina","Sea Ray",795000,"33410 ","Palm Beach Gardens","FL","Power",2016,51," Cruisers","Fiberglass","Other",3
"Dick Simon Yachts - Dick Simon Yachts","Sea Ray",1200000,"92629 ","Dana Point","CA","Power",2018,51," Flybridge","Fiberglass","Twin Inboard",1
"Denison Yachting - Denison Yachting","Sea Ray",849000,"33316 ","Fort Lauderdale","FL","Power",2016,51," Flybridge","Fiberglass","Twin Inboard",3
"MarineMax Bayport","Sea Ray",849000,"55003 ","Bayport","MN","Power",2015,51," Sports Cruiser","Fiberglass","Twin Inboard",4
"Off The Hook Yacht Sales - Off The Hook Yacht Sales","Sea Ray",695000,"28405 ","Wilmington","NC","Power",2015,51," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",4
"MarineMax Port Clinton","Sea Ray",925000,"43452 ","Port Clinton","OH","Power",2017,51," Sports Cruiser","Fiberglass","Twin Inboard",2
"WORLDWIDE YACHT SALES INC. - WORLDWIDE YACHT SALES INC.","Sea Ray",779944,"33904 ","Cape Coral","FL","Power",2016,51," Motor Yachts, Express Cruiser, Cruisers","Fiberglass","Twin Inboard",3
"Dick Simon Yachts - Dick Simon Yachts","Sea Ray",719900,"92629 ","Dana Point","CA","Power",2015,51," Express Cruiser","Fiberglass","Twin Inboard",4
"Grande Yachts International - Grande Yachts International - New York","Sea Ray",599000,"10805 ","New Rochelle","NY","Power",2014,51," Cruisers","Fiberglass","Twin Inboard",5
"East Shore Marine - East Shore Marine","Sea Ray",749000,"11757 ","Lindenhurst","NY","Power",2014,51," Cruisers, Express Cruiser","Fiberglass","Twin Inboard",5
"Grande Yachts International - Grande Yachts International - Miami","Sea Ray",607999,"33133 ","Coconut Grove","FL","Power",2013,51," Express Cruiser, Sports Cruiser, Motor Yachts","Fiberglass","Twin Inboard",6
"Erwin Marine Sales Huntsville","Sea Ray",219000,"35747 ","Huntsville","AL","Power",2001,51," Express Cruiser","Fiberglass","Twin Inboard",18
"Admiral Yacht Sales - Admiral Yacht Sales","Sea Ray",284000,"32084 ","St. Augustine","FL","Power",2001,51," Cruisers, Motor Yachts","Fiberglass","Twin Inboard",18
"Affiniti Yacht Brokerage LLC - Affiniti Yacht Brokerage : Lighthouse Point Office","Sea Ray",249000,"33064 ","Lighthouse Point","FL","Power",2001,51," Express Cruiser","Fiberglass","Twin Inboard",18
"Long Island Marine Group","Sea Ray",249900,"11768 ","Northport","NY","Power",2001,51," Express Cruiser","Fiberglass","Other",18
"Keenan Marina - Keenan Marina","Sea Ray",269900,"49456 ","Spring Lake","MI","Power",2000,51," Motor Yachts","Fiberglass","Twin Inboard",19
"Denison Yachting - Denison Yachting - San Diego","Sea Ray",247777,"92106 ","San Diego","CA","Power",2000,51," Express Cruiser","Fiberglass","Twin Inboard",19
"Temptation Yacht Sales, Inc","Sea Ray",249000,"48045 ","Harrison Township","MI","Power",2000,51," Motor Yachts, Cruisers, Express Cruiser","Wood","Twin Inboard",19
"Northrop and Johnson - Northrop and Johnson Newport Beach, CA","Stephens",195000,"92663 ","Newport Beach","CA","Power",1974,51," Cruisers, Convertible Boats","Other","Twin Inboard",45
"POP Yachts","Symbol Yachts",79999,"34233 ","Sarasota","FL","Power",1987,51," Motor Yachts, Convertible Boats, Aft Cabin","Fiberglass","Twin Inboard",32
"At Ease Yacht Sales - At Ease Yacht Sales","Gibson",132900,"32504 ","Pensacola","FL","Power",2003,51," House Boats","Fiberglass","Twin Inboard",16
"Texas Sportfishing & Yacht Sales - Texas Sportfishing & Yacht Sales, Clear Lake","Gibson",75990,"77573 ","League City","TX","Power",1994,51," House Boats","Fiberglass","Twin Inboard",25
"Atlantic Yacht & Ship, Inc. - Atlantic Yacht & Ship, Inc.","Tiara",385000,"33004 ","Dania Beach","FL","Power",2002,51," Express Cruiser","Fiberglass","Other",17
"Dunbar Yachts LLC","Jeanneau",409100,"31522 ","St. Simons Island","GA","Sails",2020,51," Racers and Cruisers","Fiberglass","Twin Inboard",-1
"Erwin Marine Sales Huntsville","Sea Ray",219000,"35747 ","Huntsville","AL","Power",2001,51," Motor Yachts","Fiberglass","Other",18
"Denison Yachting - Denison Yachting","Sea Ray",279000,"33316 ","Fort Lauderdale","FL","Power",2000,51," Express Cruiser, Motor Yachts, Cruisers","Fiberglass","Other",19
"Landings Marina","Sea Ray",149999,"74331 ","Monkey Island","OK","Power",1998,50," Motor Yachts, Cruisers","Fiberglass","Twin Inboard",21
"Marine Tech Concepts","Sea Ray",125000,"43440 ","Marblehead","OH","Power",1995,50," Motor Yachts","Fiberglass","Twin Inboard",24
"Erwin Marine Sales Inc ( Chattanooga, TN )","Sea Ray",139900,"37416 ","Chattanooga","TN","Power",1993,50," Motor Yachts","Fiberglass","Other",26
"SeaNet Yachts - SeaNet Yachts","Absolute",340000,"92663 ","Newport Beach","CA","Power",2018,50," Flybridge, Motor Yachts","Fiberglass","Twin Inboard",1
"Revolution Yacht Group - Revolution Yacht Group","Altamar",289900,"33301 ","Fort Lauderdale","FL","Power",2006,50," Flybridge, Motor Yachts","Fiberglass","Twin Inboard",13
"Allied Marine - Allied Marine - Miami Beach","Azimut",789000,"33139 ","Miami Beach","FL","Power",2015,50," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",4
"Denison Yachting - Denison Yachting - Bradenton Sarasota","Azimut",1050000,"34205 ","Bradenton","FL","Power",2018,50," Flybridge","Fiberglass","Twin Inboard",1
"Denison Yachting - Denison Yachting","Azimut",925000,"33316 ","Fort Lauderdale","FL","Power",2015,50," Motor Yachts, Flybridge","Fiberglass","Twin Inboard",4
"MarineMax Huntington","Azimut",489000,"11743 ","Huntington","NY","Power",2007,50," Motor Yachts","Fiberglass","Twin Inboard",12
"YACHTEZ IMPORT AND EXPORT LLC - YACHTEZ IMPORT AND EXPORT","Azimut",599900,"33315 ","Fort Lauderdale","FL","Power",2015,50," Sports Cruiser, Cuddy Cabin","Fiberglass","Twin Inboard",4
"Denison Yachting - Denison Yachting - Miami","Azimut",695000,"33139 ","Miami","FL","Power",2016,50," Express Cruiser, Sports Cruiser","Fiberglass","Twin Inboard",3
"Denison Yachting - Denison Yachting - Miami","Azimut",469000,"33139 ","Miami","FL","Power",2012,50," Express Cruiser","Fiberglass","Twin Inboard",7
"Shore Point  Marina & Yacht Sales, Inc. - Shore Point Marina & Yacht Sales, Inc.","Azimut",369900,"8741 ","Pine Beach","NJ","Power",2012,50," Motor Yachts, Pilothouse, Passenger","Fiberglass","Twin Inboard",7
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Baia",149000,"33312 ","Fort Lauderdale","FL","Power",1997,50," Cruisers, Express Cruiser","Fiberglass","Single Inboard",22
"Prestige Yacht Sales - Prestige Yacht Sales - Brewers Dauntless Shipyard","Beneteau",225000,"6426 ","Essex","CT","Sails",2011,50," Cruisers","Fiberglass","Single Inboard",8
"Denison Yachting - Denison Yachting - Annapolis","Beneteau",150000,"21403 ","Annapolis","MD","Sails",2000,50," Cruisers","Fiberglass","Single Inboard",19
"Annapolis Yacht Sales - Annapolis Yacht Sales","Beneteau",149900,"21403 ","Annapolis","MD","Sails",1996,50," Sloop","Fiberglass","Single Inboard",23
"Naples Yacht Brokerage - Naples Yacht Brokerage","Beneteau",139000,"34102 ","Naples","FL","Sails",1992,50," Sloop, Racers and Cruisers","Fiberglass","Twin Inboard",27
"Denison Yachting - Denison Yachting","Beneteau",1093834,"33316 ","Fort Lauderdale","FL","Power",2019,50," Express Cruiser","Fiberglass","Twin Inboard",0
"Denison Yachting - Denison Yachting - Miami","Beneteau",1100934,"33139 ","Miami","FL","Power",2019,50," Express Cruiser","Fiberglass","Twin Inboard",0
"Viage Group","Beneteau",889768,"34243 ","Sarasota","FL","Power",2018,50," Express Cruiser, Motor Yachts, Sports Cruiser","Fiberglass","Twin Inboard",1
"Viage Group","Beneteau",1177632,"34243 ","Sarasota","FL","Power",2018,50," Express Cruiser, Sports Cruiser, Motor Yachts","Fiberglass","Other",1
"Denison Yachting - Denison Yachting - Palm Beach","Beneteau",1236840,"33410 ","Palm Beach Gardens","FL","Power",2019,50," Cruisers, Flybridge","Fiberglass","Twin Inboard",0
"Denison Yachting - Denison Yachting - Seattle","Beneteau",899900,"98109 ","Seattle","WA","Power",2018,50," Motor Yachts, Cruisers, Flybridge","Fiberglass","Twin Inboard",1
"Denison Yachting - Denison Yachting","Beneteau",799000,"33316 ","Fort Lauderdale","FL","Power",2018,50," Cruisers, Flybridge","Fiberglass","Twin Inboard",1
"Allied Marine - Allied Marine - Stuart","Beneteau",669000,"34994 ","Stuart","FL","Power",2015,50," Cruisers","Fiberglass","Other",4
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Beneteau",599000,"33312 ","Fort Lauderdale","FL","Power",2015,50," Motor Yachts, Cruisers","Fiberglass","Twin Inboard",4
"Denison Yachting - Denison Yachting - Palm Beach","Beneteau",699000,"33410 ","Palm Beach Gardens","FL","Power",2016,50," Motor Yachts, Flybridge, Express Cruiser","Fiberglass","Twin Inboard",3
"Denison Yachting - Denison Yachting - Seattle","Beneteau",1216220,"98109 ","Seattle","WA","Power",2018,50," Motor Yachts, Flybridge, Cruisers","Fiberglass","Single Inboard",1
"Knot 10 Yacht Sales","Beneteau",225000,"21638 ","Grasonville","MD","Sails",2003,50," Cruisers","Fiberglass","Single Inboard",16
"Yachtfinders Windseakers - Yachtfinders Windseakers","Beneteau",112500,"92106 ","San Diego","CA","Sails",1988,50," Cruisers, Sloop","Fiberglass","Single Inboard",31
"Denison Yachting - Denison Yachting - Marina Del Rey","Beneteau",428500,"90292 ","Marina Del Rey","CA","Sails",2015,50," Cruisers","Fiberglass","Other",4
"Texas Coast Yachts - Texas Coast Yachts","Beneteau",458890,"77565 ","Clear Lake Shores","TX","Sails",2015,50," Cruisers","Fiberglass","Single Inboard",4
"Tait Yachts - Tait Yachts","Beneteau",365000,"11963 ","Sag Harbor","NY","Sails",2012,50," Cruisers, Sloop","Fiberglass","Single Inboard",7
"California Yacht Sales, Inc. - California Yacht Sales, Inc.","Beneteau",250000,"92101 ","San Diego","CA","Sails",1997,50," Cruisers, Racers and Cruisers","Fiberglass","Other",22
